Chromosome: TcChr32-S
Organism: Trypanosoma cruzi CL Brener Esmeraldo-like
Origins: 
484034 
Length: 968069 bases
Replication Speed: 67 b/s
Transcription Regions: 
(219176, 100823) (274765, 574090) (860498, 587297) (861235, 966472) 

Origin at position 484034 activated at 13
Head collision with transcription machinery around base 339715
Head collision with transcription machinery around base 318993
Head collision with transcription machinery around base 298265
Head collision with transcription machinery around base 277536
Head collision with transcription machinery around base 743837
Head collision with transcription machinery around base 764573
Head collision with transcription machinery around base 785305
Tail collision with transcription machinery around base 166804
Head collision with transcription machinery around base 806035
Head collision with transcription machinery around base 826765
Head collision with transcription machinery around base 847495
Tail collision with transcription machinery around base 112426
Tail collision with transcription machinery around base 895952
Tail collision with transcription machinery around base 950330
Duration: 7240

Origin at position 484034 activated at 8
Head collision with transcription machinery around base 339611
Head collision with transcription machinery around base 743941
Head collision with transcription machinery around base 337071
Head collision with transcription machinery around base 746473
Head collision with transcription machinery around base 334525
Head collision with transcription machinery around base 749018
Head collision with transcription machinery around base 331976
Head collision with transcription machinery around base 751566
Head collision with transcription machinery around base 329447
Head collision with transcription machinery around base 754095
Head collision with transcription machinery around base 326903
Head collision with transcription machinery around base 756638
Head collision with transcription machinery around base 324355
Head collision with transcription machinery around base 759186
Head collision with transcription machinery around base 321826
Head collision with transcription machinery around base 761715
Head collision with transcription machinery around base 319283
Head collision with transcription machinery around base 764258
Head collision with transcription machinery around base 316735
Head collision with transcription machinery around base 766806
Head collision with transcription machinery around base 314206
Head collision with transcription machinery around base 769335
Head collision with transcription machinery around base 311663
Head collision with transcription machinery around base 771878
Head collision with transcription machinery around base 309115
Head collision with transcription machinery around base 774426
Head collision with transcription machinery around base 306586
Head collision with transcription machinery around base 776955
Head collision with transcription machinery around base 304043
Head collision with transcription machinery around base 779498
Head collision with transcription machinery around base 301495
Head collision with transcription machinery around base 782046
Head collision with transcription machinery around base 298966
Head collision with transcription machinery around base 784575
Head collision with transcription machinery around base 296423
Head collision with transcription machinery around base 787118
Head collision with transcription machinery around base 293875
Head collision with transcription machinery around base 789666
Head collision with transcription machinery around base 291346
Head collision with transcription machinery around base 792195
Head collision with transcription machinery around base 288803
Head collision with transcription machinery around base 794738
Head collision with transcription machinery around base 286255
Head collision with transcription machinery around base 797286
Head collision with transcription machinery around base 283726
Head collision with transcription machinery around base 799815
Head collision with transcription machinery around base 281183
Head collision with transcription machinery around base 802358
Head collision with transcription machinery around base 278635
Head collision with transcription machinery around base 804906
Head collision with transcription machinery around base 276106
Head collision with transcription machinery around base 807435
Tail collision with transcription machinery around base 177253
Head collision with transcription machinery around base 809978
Tail collision with transcription machinery around base 122875
Head collision with transcription machinery around base 812526
Head collision with transcription machinery around base 815055
Head collision with transcription machinery around base 817598
Head collision with transcription machinery around base 820146
Head collision with transcription machinery around base 822675
Head collision with transcription machinery around base 825218
Head collision with transcription machinery around base 827766
Head collision with transcription machinery around base 830295
Head collision with transcription machinery around base 832838
Head collision with transcription machinery around base 835386
Head collision with transcription machinery around base 837915
