[Gene ID]	[Transcript ID]	[Organism]	[Genomic Location(s)]	[Product Description]	
TcCLB.419043.10	TcCLB.419043.10:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr12-S: 461,179 - 461,907 (-)	kinetoplastid kinetochore protein 20	
TcCLB.424383.9	TcCLB.424383.9:pseudogenic_transcript	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr12-S: 79,698 - 81,519 (-)	trans-sialidase (pseudogene), putative	
TcCLB.445553.10	TcCLB.445553.10:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr12-S: 219,678 - 221,222 (+)	hypothetical protein, conserved	
TcCLB.473633.9	TcCLB.473633.9:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr12-S: 78,255 - 79,597 (-)	dispersed gene family protein 1 (DGF-1), putative (fragment)	
TcCLB.503571.10	TcCLB.503571.10:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr12-S: 285,842 - 287,587 (-)	Flagellum adhesion protein 1	
TcCLB.503571.19	TcCLB.503571.19:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr12-S: 281,604 - 283,729 (-)	FLA1-binding protein	
TcCLB.503595.10	TcCLB.503595.10:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr12-S: 123,806 - 125,860 (+)	hypothetical protein, conserved	
TcCLB.503595.19	TcCLB.503595.19:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr12-S: 126,599 - 127,924 (+)	ATP-dependent DEAD/H RNA helicase, putative (fragment)	
TcCLB.503689.10	TcCLB.503689.10:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr12-S: 436,391 - 437,056 (-)	small GTP-binding protein Rab7, putative	
TcCLB.503689.20	TcCLB.503689.20:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr12-S: 437,447 - 437,863 (-)	hypothetical protein, conserved	
TcCLB.503689.30	TcCLB.503689.30:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr12-S: 438,435 - 439,589 (-)	flagellar protofilament ribbon protein, putative	
TcCLB.503689.34	TcCLB.503689.34:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr12-S: 439,837 - 440,382 (-)	hypothetical protein, conserved	
TcCLB.503689.4	TcCLB.503689.4:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr12-S: 434,402 - 435,061 (-)	Ras-related protein RabX1, putative	
TcCLB.503689.40	TcCLB.503689.40:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr12-S: 440,686 - 443,697 (-)	hypothetical protein, conserved	
TcCLB.503895.10	TcCLB.503895.10:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr12-S: 336,579 - 337,322 (-)	hypothetical protein, conserved	
TcCLB.503895.19	TcCLB.503895.19:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr12-S: 328,145 - 335,519 (-)	hypothetical protein	
TcCLB.503897.10	TcCLB.503897.10:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr12-S: 326,033 - 328,042 (-)	hypothetical protein	
TcCLB.503897.100	TcCLB.503897.100:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr12-S: 300,094 - 303,861 (-)	hypothetical protein, conserved	
TcCLB.503897.110	TcCLB.503897.110:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr12-S: 297,332 - 299,614 (-)	plectin-like protein, putative	
TcCLB.503897.120	TcCLB.503897.120:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr12-S: 295,923 - 296,843 (-)	hypothetical protein, conserved	
TcCLB.503897.130	TcCLB.503897.130:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr12-S: 293,848 - 294,930 (-)	hypothetical protein, conserved	
TcCLB.503897.140	TcCLB.503897.140:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr12-S: 292,577 - 293,419 (-)	hypothetical protein, conserved	
TcCLB.503897.150	TcCLB.503897.150:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr12-S: 291,177 - 292,007 (-)	hypothetical protein, conserved	
TcCLB.503897.170	TcCLB.503897.170:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr12-S: 289,626 - 290,831 (-)	citrate transporter, putative	
TcCLB.503897.20	TcCLB.503897.20:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr12-S: 321,614 - 325,219 (-)	hypothetical protein, conserved	
TcCLB.503897.30	TcCLB.503897.30:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr12-S: 319,887 - 320,564 (-)	hypothetical protein, conserved	
TcCLB.503897.40	TcCLB.503897.40:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr12-S: 317,836 - 319,095 (-)	hypothetical protein, conserved	
TcCLB.503897.50	TcCLB.503897.50:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr12-S: 315,545 - 317,005 (-)	hypothetical protein, conserved	
TcCLB.503897.60	TcCLB.503897.60:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr12-S: 313,002 - 314,927 (-)	hypothetical protein, conserved	
TcCLB.503897.70	TcCLB.503897.70:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr12-S: 311,053 - 311,574 (-)	hypothetical protein, conserved	
