[Gene ID]	[source_id]	[Organism]	[Genomic Location(s)]	[Product Description]	
Tb11.09.0001	Tb11.09.0001.1	T. brucei brucei TREU927	Tb927_11_RH_fork_v5.1: 631,684 - 633,113 (-)	variant surface glycoprotein (VSG, pseudogene), putative	
Tb11.15.0005	Tb11.15.0005.1	T. brucei brucei TREU927	Tb927_11_RH_fork_v5.1: 335,671 - 336,756 (-)	hypothetical protein, conserved, degenerate	
Tb11.15.0006	Tb11.15.0006.1	T. brucei brucei TREU927	Tb927_11_RH_fork_v5.1: 337,777 - 339,308 (-)	variant surface glycoprotein (VSG), frameshifted	
Tb11.15.0007	Tb11.15.0007.1	T. brucei brucei TREU927	Tb927_11_RH_fork_v5.1: 340,587 - 342,071 (-)	variant surface glycoprotein (VSG), point mutation	
Tb11.15.0008	Tb11.15.0008.1	T. brucei brucei TREU927	Tb927_11_RH_fork_v5.1: 342,291 - 343,308 (-)	expression site-associated gene 3 (ESAG3), degenerate and frameshifted	
Tb11.1720	Tb11.1720.1	T. brucei brucei TREU927	Tb927_11_RH_fork_v5.1: 220,606 - 222,206 (-)	variant surface glycoprotein (VSG), putative	
Tb11.57.0047	Tb11.57.0047.1	T. brucei brucei TREU927	Tb927_11_RH_fork_v5.1: 239,575 - 241,155 (-)	variant surface glycoprotein (VSG), point mutation	
Tb11.57.0049	Tb11.57.0049.1	T. brucei brucei TREU927	Tb927_11_RH_fork_v5.1: 316,384 - 317,970 (+)	variant surface glycoprotein (VSG, pseudogene), degenerate	
Tb11.57.0050	Tb11.57.0050.1	T. brucei brucei TREU927	Tb927_11_RH_fork_v5.1: 315,103 - 316,194 (+)	expression site-associated gene 3 (ESAG3), frameshifted and degenerate	
Tb11.v4.0039	Tb11.v4.0039.1	T. brucei brucei TREU927	Tb927_11_RH_fork_v5.1: 618,892 - 625,004 (-)	variant surface glycoprotein (VSG, pseudogene), putative	
Tb11.v4.0041	Tb11.v4.0041.1	T. brucei brucei TREU927	Tb927_11_RH_fork_v5.1: 628,503 - 629,990 (-)	variant surface glycoprotein (VSG, pseudogene), putative	
Tb11.v4.0062	Tb11.v4.0062.1	T. brucei brucei TREU927	Tb927_11_RH_fork_v5.1: 219,368 - 220,243 (-)	variant surface glycoprotein (VSG, pseudogene), putative	
Tb927.11.18690	Tb927.11.18690.1	T. brucei brucei TREU927	Tb927_11_RH_fork_v5.1: 45 - 2,468 (+)	expression site-associated gene 4 (ESAG4) protein, putative	
Tb927.11.18700	Tb927.11.18700.1	T. brucei brucei TREU927	Tb927_11_RH_fork_v5.1: 1,602 - 5,657 (+)	hypothetical protein, conserved	
