[Gene ID]	[source_id]	[Organism]	[Genomic Location(s)]	[Product Description]	
LmjF.01.0010	LmjF.01.0010:mRNA	L. major strain Friedlin	LmjF.01: 3,704 - 4,702 (-)	Protein of unknown function (DUF2946), putative	
LmjF.01.0020	LmjF.01.0020:mRNA	L. major strain Friedlin	LmjF.01: 5,790 - 7,439 (-)	Endonuclease/Exonuclease/phosphatase family, putative	
LmjF.01.0030	LmjF.01.0030:mRNA	L. major strain Friedlin	LmjF.01: 9,061 - 11,067 (-)	Kinesin-13 1, putative	
LmjF.01.0040	LmjF.01.0040:mRNA	L. major strain Friedlin	LmjF.01: 12,073 - 12,642 (-)	hypothetical protein, unknown function	
LmjF.01.0050	LmjF.01.0050:mRNA	L. major strain Friedlin	LmjF.01: 15,025 - 17,022 (-)	carboxylase, putative	
LmjF.01.0060	LmjF.01.0060:mRNA	L. major strain Friedlin	LmjF.01: 18,137 - 18,886 (-)	hypothetical protein, conserved	
LmjF.01.0070	LmjF.01.0070:mRNA	L. major strain Friedlin	LmjF.01: 19,951 - 21,747 (-)	BSD domain containing protein, putative	
LmjF.01.0080	LmjF.01.0080:mRNA	L. major strain Friedlin	LmjF.01: 22,613 - 23,326 (-)	hypothetical protein, conserved	
LmjF.01.0090	LmjF.01.0090:mRNA	L. major strain Friedlin	LmjF.01: 24,859 - 25,683 (-)	UMP-CMP kinase, mitochondrial, putative	
LmjF.01.0100	LmjF.01.0100:mRNA	L. major strain Friedlin	LmjF.01: 26,405 - 27,451 (-)	Glycosyl transferase family 11, putative	
LmjF.01.0110	LmjF.01.0110:mRNA	L. major strain Friedlin	LmjF.01: 28,521 - 29,108 (-)	monothiol glutaredoxin, putative	
LmjF.01.0120	LmjF.01.0120:mRNA	L. major strain Friedlin	LmjF.01: 30,278 - 32,251 (-)	hypothetical protein, conserved	
LmjF.01.0130	LmjF.01.0130:mRNA	L. major strain Friedlin	LmjF.01: 33,630 - 34,826 (-)	hypothetical protein, conserved	
LmjF.01.0140	LmjF.01.0140:mRNA	L. major strain Friedlin	LmjF.01: 36,878 - 37,126 (-)	hypothetical protein, conserved	
LmjF.01.0150	LmjF.01.0150:mRNA	L. major strain Friedlin	LmjF.01: 37,714 - 38,064 (-)	hypothetical protein, conserved	
LmjF.01.0160	LmjF.01.0160:mRNA	L. major strain Friedlin	LmjF.01: 38,940 - 39,182 (-)	LSM domain containing protein, putative	
LmjF.01.0170	LmjF.01.0170:mRNA	L. major strain Friedlin	LmjF.01: 41,273 - 42,649 (-)	hypothetical protein, conserved	
LmjF.01.0180	LmjF.01.0180:mRNA	L. major strain Friedlin	LmjF.01: 44,148 - 46,466 (-)	CLC-type chloride channel, putative	
LmjF.01.0190	LmjF.01.0190:mRNA	L. major strain Friedlin	LmjF.01: 47,548 - 48,138 (-)	hypothetical protein, conserved	
LmjF.01.0200	LmjF.01.0200:mRNA	L. major strain Friedlin	LmjF.01: 48,851 - 49,651 (-)	Low molecular weight phosphotyrosine protein phosphatase, putative	
LmjF.01.0210	LmjF.01.0210:mRNA	L. major strain Friedlin	LmjF.01: 50,677 - 53,370 (-)	CUE domain/Domain of unknown function (DUF1771)/Smr domain containing protein, putative	
LmjF.01.0220	LmjF.01.0220:mRNA	L. major strain Friedlin	LmjF.01: 57,026 - 58,033 (-)	cyclophilin 12, putative	
LmjF.01.0230	LmjF.01.0230:mRNA	L. major strain Friedlin	LmjF.01: 58,837 - 59,253 (-)	hypothetical protein, conserved	
LmjF.01.0240	LmjF.01.0240:mRNA	L. major strain Friedlin	LmjF.01: 60,056 - 62,833 (-)	DNA excision/repair protein SNF2, putative	
LmjF.01.0250	LmjF.01.0250:mRNA	L. major strain Friedlin	LmjF.01: 63,619 - 66,090 (-)	Right handed beta helix region, putative	
LmjF.01.0260	LmjF.01.0260:mRNA	L. major strain Friedlin	LmjF.01: 67,443 - 68,288 (-)	Calmodulin-binding, putative	
LmjF.01.0270	LmjF.01.0270:mRNA	L. major strain Friedlin	LmjF.01: 69,584 - 69,907 (-)	thioredoxin, putative	
LmjF.01.0280	LmjF.01.0280:mRNA	L. major strain Friedlin	LmjF.01: 71,546 - 72,787 (-)	pseudouridylate synthase-like protein	
LmjF.01.0290	LmjF.01.0290:mRNA	L. major strain Friedlin	LmjF.01: 74,034 - 74,552 (-)	hypothetical protein, conserved	
LmjF.01.0300	LmjF.01.0300:mRNA	L. major strain Friedlin	LmjF.01: 75,474 - 75,653 (-)	4F5 protein family, putative	
LmjF.01.0310	LmjF.01.0310:mRNA	L. major strain Friedlin	LmjF.01: 76,217 - 77,383 (-)	acidocalcisomal exopolyphosphatase, putative	
LmjF.01.0315	LmjF.01.0315:mRNA	L. major strain Friedlin	LmjF.01: 77,741 - 78,172 (-)	hypothetical protein, conserved	
LmjF.01.0320	LmjF.01.0320:mRNA	L. major strain Friedlin	LmjF.01: 79,049 - 80,068 (+)	poly(A) export protein, putative	
LmjF.01.0330	LmjF.01.0330.1:mRNA	L. major strain Friedlin	LmjF.01: 80,583 - 81,164 (+)	hypothetical protein, conserved	
LmjF.01.0330	LmjF.01.0330.2:mRNA	L. major strain Friedlin	LmjF.01: 80,472 - 81,164 (+)	hypothetical protein, conserved	
LmjF.01.0335	LmjF.01.0335:mRNA	L. major strain Friedlin	LmjF.01: 81,749 - 82,042 (+)	Mitochondrial pyruvate carrier 1	
LmjF.01.0340	LmjF.01.0340:mRNA	L. major strain Friedlin	LmjF.01: 83,341 - 84,117 (+)	hypothetical protein, conserved	
LmjF.01.0350	LmjF.01.0350:mRNA	L. major strain Friedlin	LmjF.01: 85,901 - 88,105 (+)	hypothetical protein, conserved	
LmjF.01.0360	LmjF.01.0360:mRNA	L. major strain Friedlin	LmjF.01: 88,974 - 89,543 (+)	hypothetical protein, conserved	
LmjF.01.0370	LmjF.01.0370:mRNA	L. major strain Friedlin	LmjF.01: 90,100 - 90,666 (+)	Protein of unknown function (DUF788), putative	
LmjF.01.0380	LmjF.01.0380:mRNA	L. major strain Friedlin	LmjF.01: 91,351 - 93,807 (+)	Dyggve-Melchior-Clausen syndrome protein, putative	
LmjF.01.0390	LmjF.01.0390:mRNA	L. major strain Friedlin	LmjF.01: 94,762 - 97,230 (+)	hypothetical protein, conserved	
LmjF.01.0400	LmjF.01.0400:mRNA	L. major strain Friedlin	LmjF.01: 98,194 - 99,873 (+)	hypothetical protein, conserved	
LmjF.01.0410	LmjF.01.0410:mRNA	L. major strain Friedlin	LmjF.01: 100,528 - 101,130 (+)	ribosomal protein S7, putative	
LmjF.01.0420	LmjF.01.0420:mRNA	L. major strain Friedlin	LmjF.01: 102,444 - 103,046 (+)	ribosomal protein S7, putative	
LmjF.01.0430	LmjF.01.0430:mRNA	L. major strain Friedlin	LmjF.01: 103,842 - 106,073 (+)	Ring finger domain/Zn-finger in ubiquitin-hydrolases and other protein, putative	
LmjF.01.0440	LmjF.01.0440:mRNA	L. major strain Friedlin	LmjF.01: 107,438 - 109,201 (+)	Protein of unknown function (DUF791), putative	
LmjF.01.0450	LmjF.01.0450:mRNA	L. major strain Friedlin	LmjF.01: 112,139 - 112,795 (+)	nicotinamidase, putative	
LmjF.01.0460	LmjF.01.0460:mRNA	L. major strain Friedlin	LmjF.01: 114,558 - 119,183 (+)	conserved protein	
