[Gene ID]	[Transcript ID]	[Organism]	[Genomic Location(s)]	[Product Description]	
TcCLB.398343.9	TcCLB.398343.9:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr24-S: 679,754 - 680,524 (-)	surface protease GP63, putative (fragment)	
TcCLB.399033.10	TcCLB.399033.10:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr24-S: 251,726 - 252,310 (-)	hypothetical protein	
TcCLB.399033.19	TcCLB.399033.19:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr24-S: 249,358 - 251,317 (-)	kinetoplast polyadenylation/uridylation factor 1 (fragment)	
TcCLB.405453.9	TcCLB.405453.9:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr24-S: 192,337 - 195,709 (-)	dispersed gene family protein 1 (DGF-1), putative (fragment)	
TcCLB.408437.10	TcCLB.408437.10:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr24-S: 337,654 - 338,925 (+)	hypothetical protein, conserved	
TcCLB.408437.20	TcCLB.408437.20:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr24-S: 339,952 - 340,314 (+)	hypothetical protein, conserved	
TcCLB.408437.29	TcCLB.408437.29:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr24-S: 340,947 - 342,974 (+)	hypothetical protein (fragment)	
TcCLB.408573.5	TcCLB.408573.5:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr24-S: 308,625 - 308,885 (+)	hypothetical protein	
TcCLB.408573.9	TcCLB.408573.9:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr24-S: 309,217 - 310,804 (+)	hypothetical protein, conserved (fragment)	
TcCLB.409139.9	TcCLB.409139.9:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr24-S: 154,743 - 155,813 (-)	trans-sialidase, putative	
TcCLB.417939.9	TcCLB.417939.9:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr24-S: 34,078 - 35,785 (-)	dispersed gene family protein 1 (DGF-1), putative	
TcCLB.425851.9	TcCLB.425851.9:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr24-S: 310,906 - 312,212 (+)	hypothetical protein, conserved	
TcCLB.429257.10	TcCLB.429257.10:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr24-S: 254,817 - 255,797 (-)	hypothetical protein, conserved	
TcCLB.429257.20	TcCLB.429257.20:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr24-S: 257,652 - 258,890 (-)	cytochrome b5-dependent oleate desaturase	
TcCLB.436535.10	TcCLB.436535.10:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr24-S: 156,642 - 157,400 (-)	hypothetical protein, conserved	
TcCLB.436535.19	TcCLB.436535.19:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr24-S: 158,406 - 159,245 (-)	Glucose-6-phosphate dehydrogenase, putative	
TcCLB.439803.9	TcCLB.439803.9:pseudogenic_transcript	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr24-S: 233,800 - 235,753 (-)	trans-sialidase (pseudogene), putative	
TcCLB.441401.10	TcCLB.441401.10:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr24-S: 383,614 - 384,342 (+)	imidazolonepropienase, putative	
TcCLB.448197.10	TcCLB.448197.10:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr24-S: 233,434 - 233,697 (-)	Mucin-associated surface protein (MASP)	
TcCLB.450061.10	TcCLB.450061.10:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr24-S: 433,323 - 435,422 (+)	hypothetical protein, conserved	
TcCLB.468217.14	TcCLB.468217.14:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr24-S: 235,855 - 237,133 (-)	Mucin-associated surface protein (MASP)	
TcCLB.468217.30	TcCLB.468217.30:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr24-S: 238,827 - 240,251 (-)	trans-sialidase, putative	
TcCLB.475705.9	TcCLB.475705.9:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr24-S: 312,314 - 314,472 (+)	hypothetical protein, conserved	
TcCLB.485845.9	TcCLB.485845.9:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr24-S: 35,886 - 37,379 (-)	dispersed gene family protein 1 (DGF-1), putative (fragment)	
TcCLB.485889.10	TcCLB.485889.10:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr24-S: 379,032 - 381,815 (+)	hypothetical protein, conserved	
TcCLB.485889.16	TcCLB.485889.16:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr24-S: 382,801 - 383,511 (+)	hypothetical protein (fragment)	
TcCLB.485889.4	TcCLB.485889.4:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr24-S: 378,081 - 378,425 (+)	hypothetical protein, conserved	
TcCLB.503509.10	TcCLB.503509.10:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr24-S: 421,645 - 424,089 (+)	hypothetical protein, conserved	
TcCLB.503511.10	TcCLB.503511.10:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr24-S: 418,139 - 420,313 (+)	hypothetical protein, conserved	
TcCLB.503513.10	TcCLB.503513.10:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr24-S: 413,357 - 414,583 (+)	casein kinase II, alpha chain, putative	
TcCLB.503513.20	TcCLB.503513.20:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr24-S: 409,620 - 412,742 (+)	hypothetical protein	
TcCLB.503513.40	TcCLB.503513.40:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr24-S: 407,174 - 407,857 (+)	proteasome regulatory non-ATPase subunit 6, putative	
TcCLB.503515.14	TcCLB.503515.14:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr24-S: 404,683 - 405,399 (+)	ubiquitin-conjugating enzyme E2, putative	
TcCLB.503515.20	TcCLB.503515.20:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr24-S: 401,706 - 404,138 (+)	Kinetoplastid RNA editing protein 1, putative	
TcCLB.503515.7	TcCLB.503515.7:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr24-S: 406,184 - 407,071 (+)	ribosomal RNA methyltransferase, putative (fragment)	
TcCLB.503627.20	TcCLB.503627.20:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr24-S: 331,037 - 335,818 (+)	protein kinase, putative	
TcCLB.503627.9	TcCLB.503627.9:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr24-S: 336,460 - 337,551 (+)	hypothetical protein, conserved (fragment)	
TcCLB.503629.10	TcCLB.503629.10:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr24-S: 314,575 - 318,021 (+)	hypothetical protein, conserved	
TcCLB.503665.10	TcCLB.503665.10:pseudogenic_transcript	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr24-S: 80,808 - 81,368 (-)	trans-sialidase (pseudogene), putative	
TcCLB.503665.15	TcCLB.503665.15.1	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr24-S: 78,467 - 79,754 (-)	trans-sialidase (pseudogene), putative	
TcCLB.503665.21	TcCLB.503665.21:pseudogenic_transcript	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr24-S: 77,958 - 78,206 (-)	elongation factor 1-gamma (EF-1-gamma, pseudogene), putative	
TcCLB.503665.30	TcCLB.503665.30:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr24-S: 76,523 - 77,581 (-)	Mucin-associated surface protein (MASP), subgroup S072	
TcCLB.503665.40	TcCLB.503665.40:pseudogenic_transcript	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr24-S: 74,263 - 75,990 (-)	surface protease GP63 (pseudogene), putative	
TcCLB.503667.10	TcCLB.503667.10:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr24-S: 48,072 - 49,973 (-)	trans-sialidase, putative	
TcCLB.503667.20	TcCLB.503667.20:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr24-S: 46,714 - 47,166 (-)	hypothetical protein	
TcCLB.503667.31	TcCLB.503667.31:pseudogenic_transcript	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr24-S: 45,168 - 45,746 (-)	retrotransposon hot spot protein (RHS, pseudogene), putative	
TcCLB.503667.39	TcCLB.503667.39:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr24-S: 39,698 - 44,044 (-)	dispersed gene family protein 1 (DGF-1), putative (fragment)	
TcCLB.503863.9	TcCLB.503863.9:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr24-S: 415,952 - 417,554 (+)	hypothetical protein, conserved	
TcCLB.503957.10	TcCLB.503957.10:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr24-S: 710,958 - 711,734 (+)	trans-sialidase, putative	
TcCLB.503957.120	TcCLB.503957.120:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr24-S: 745,776 - 748,745 (+)	retrotransposon hot spot (RHS) protein, putative	
TcCLB.503957.20	TcCLB.503957.20:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr24-S: 713,932 - 716,265 (+)	retrotransposon hot spot (RHS) protein, putative	
TcCLB.503957.25	TcCLB.503957.25:pseudogenic_transcript	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr24-S: 719,854 - 721,914 (+)	trans-sialidase (pseudogene), putative	
TcCLB.503957.30	TcCLB.503957.30:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr24-S: 725,151 - 728,090 (+)	retrotransposon hot spot (RHS) protein, putative	
TcCLB.503957.60	TcCLB.503957.60:pseudogenic_transcript	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr24-S: 729,406 - 731,499 (+)	trans-sialidase (pseudogene), putative	
TcCLB.503957.90	TcCLB.503957.90:pseudogenic_transcript	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr24-S: 733,188 - 743,366 (+)	dispersed gene family protein 1 (DGF-1, pseudogene), putative	
TcCLB.503985.10	TcCLB.503985.10:pseudogenic_transcript	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr24-S: 28,966 - 30,987 (-)	trans-sialidase (pseudogene), putative	
