[Gene ID]	[source_id]	[Organism]	[Genomic Location(s)]	[Product Description]	
LMJLV39_120005000	LMJLV39_120005000.1	L. major strain LV39c5	LmjLV39_12: 2,205 - 2,921 (+)	hypothetical protein	
LMJLV39_120005100	LMJLV39_120005100.1	L. major strain LV39c5	LmjLV39_12: 3,068 - 4,078 (+)	translation initiation factor EIF-2b alpha subunit, putative	
LMJLV39_120005200	LMJLV39_120005200.1	L. major strain LV39c5	LmjLV39_12: 4,486 - 5,133 (+)	PITH domain containing protein, putative	
LMJLV39_120005300	LMJLV39_120005300.1	L. major strain LV39c5	LmjLV39_12: 5,528 - 6,379 (+)	proteasome beta-1 subunit, putative	
LMJLV39_120005400	LMJLV39_120005400.1	L. major strain LV39c5	LmjLV39_12: 7,012 - 8,415 (+)	Mitochondrial ribosomal death-associated protein 3, putative	
LMJLV39_120005500	LMJLV39_120005500.1	L. major strain LV39c5	LmjLV39_12: 9,016 - 9,339 (+)	hypothetical protein, conserved	
LMJLV39_120005600	LMJLV39_120005600.1	L. major strain LV39c5	LmjLV39_12: 9,694 - 10,965 (+)	Protein phosphatase 2A homologues, catalytic domain, putative	
LMJLV39_120005700	LMJLV39_120005700.1	L. major strain LV39c5	LmjLV39_12: 11,782 - 12,360 (+)	ribonuclease mar1	
LMJLV39_120005800	LMJLV39_120005800.1	L. major strain LV39c5	LmjLV39_12: 13,253 - 14,980 (+)	hypothetical protein, conserved	
LMJLV39_120005900	LMJLV39_120005900.1	L. major strain LV39c5	LmjLV39_12: 15,727 - 15,999 (+)	hypothetical protein, conserved	
LMJLV39_120006000	LMJLV39_120006000.1	L. major strain LV39c5	LmjLV39_12: 16,493 - 17,110 (+)	kinetoplastid kinetochore protein 6, putative	
LMJLV39_120006100	LMJLV39_120006100.1	L. major strain LV39c5	LmjLV39_12: 17,415 - 19,121 (+)	hypothetical protein, conserved	
LMJLV39_120006200	LMJLV39_120006200.1	L. major strain LV39c5	LmjLV39_12: 21,358 - 21,546 (+)	hypothetical protein	
LMJLV39_120006300	LMJLV39_120006300.1	L. major strain LV39c5	LmjLV39_12: 21,770 - 22,033 (+)	hypothetical protein	
LMJLV39_120006400	LMJLV39_120006400.1	L. major strain LV39c5	LmjLV39_12: 23,206 - 24,078 (+)	Plus-3 domain/Zinc finger, C3HC4 type (RING finger) containing protein, putative	
LMJLV39_120006500	LMJLV39_120006500.1	L. major strain LV39c5	LmjLV39_12: 25,875 - 28,565 (+)	FYVE zinc finger containing protein, putative	
LMJLV39_120006600	LMJLV39_120006600.1	L. major strain LV39c5	LmjLV39_12: 29,721 - 33,851 (+)	hypothetical protein, conserved	
LMJLV39_120006700	LMJLV39_120006700.1	L. major strain LV39c5	LmjLV39_12: 37,756 - 39,507 (+)	protein kinase, putative	
LMJLV39_120006800	LMJLV39_120006800.1	L. major strain LV39c5	LmjLV39_12: 42,473 - 43,855 (+)	hypothetical protein, conserved	
