[Gene ID]	[Transcript ID]	[Organism]	[Genomic Location(s)]	[Product Description]	
TcCLB.400945.10	TcCLB.400945.10:pseudogenic_transcript	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr31-S: 29,316 - 30,302 (-)	trans-sialidase (pseudogene), putative	
TcCLB.404975.30	TcCLB.404975.30:pseudogenic_transcript	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr31-S: 27,503 - 28,960 (-)	trans-sialidase (pseudogene), putative	
TcCLB.407477.10	TcCLB.407477.10:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr31-S: 518,744 - 519,400 (+)	thiolase protein-like protein, putative	
TcCLB.407477.20	TcCLB.407477.20:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr31-S: 519,770 - 520,312 (+)	hypothetical protein, conserved	
TcCLB.407477.30	TcCLB.407477.30:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr31-S: 520,900 - 521,709 (+)	diphthine synthase, putative	
TcCLB.407477.40	TcCLB.407477.40:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr31-S: 521,839 - 522,456 (+)	hypothetical protein, conserved	
TcCLB.407477.44	TcCLB.407477.44:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr31-S: 522,696 - 523,061 (+)	hypothetical protein, conserved	
TcCLB.407477.50	TcCLB.407477.50:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr31-S: 523,338 - 523,811 (+)	cytochrome c oxidase VIII (COX VIII), putative	
TcCLB.407477.60	TcCLB.407477.60:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr31-S: 524,533 - 525,465 (+)	hypothetical protein, conserved	
TcCLB.407477.69	TcCLB.407477.69:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr31-S: 525,661 - 526,326 (+)	hypothetical protein, conserved (fragment)	
TcCLB.424889.10	TcCLB.424889.10:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr31-S: 198,299 - 199,444 (-)	UDP-Gal or UDP-GlcNAc-dependent glycosyltransferase, putative	
TcCLB.428999.10	TcCLB.428999.10:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr31-S: 768,939 - 771,824 (+)	hypothetical protein	
TcCLB.428999.20	TcCLB.428999.20:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr31-S: 768,308 - 768,814 (+)	receptor-type adenylate cyclase, putative	
TcCLB.428999.30	TcCLB.428999.30:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr31-S: 766,942 - 767,817 (+)	hypothetical protein	
TcCLB.430539.10	TcCLB.430539.10:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr31-S: 820,992 - 821,465 (+)	hypothetical protein, conserved (fragment)	
TcCLB.430539.20	TcCLB.430539.20:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr31-S: 819,403 - 819,654 (+)	amino acid transporter, putative	
TcCLB.436521.9	TcCLB.436521.9:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr31-S: 778,230 - 779,315 (-)	mevalonate kinase, putative (fragment)	
TcCLB.477983.10	TcCLB.477983.10:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr31-S: 693,476 - 694,021 (+)	calpain cysteine peptidase, putative	
TcCLB.503393.10	TcCLB.503393.10:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr31-S: 703,355 - 704,101 (+)	amino acid permease, putative (fragment)	
TcCLB.503447.20	TcCLB.503447.20:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr31-S: 386 - 2,650 (-)	trans-sialidase, Group II, putative	
TcCLB.503447.40	TcCLB.503447.40:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr31-S: 6,541 - 8,589 (-)	retrotransposon hot spot (RHS) protein, putative	
TcCLB.503447.50	TcCLB.503447.50:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr31-S: 13,074 - 15,731 (-)	trans-sialidase, Group IV, putative	
TcCLB.503447.60	TcCLB.503447.60:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr31-S: 18,705 - 19,541 (-)	beta galactofuranosyl glycosyltransferase, putative	
TcCLB.503547.20	TcCLB.503547.20:pseudogenic_transcript	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr31-S: 206,012 - 214,744 (-)	dispersed gene family protein 1 (DGF-1, pseudogene), putative	
TcCLB.503615.10	TcCLB.503615.10:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr31-S: 345,380 - 346,513 (+)	UDP-Gal or UDP-GlcNAc-dependent glycosyltransferase, putative	
