[Gene ID]	[source_id]	[Organism]	[Genomic Location(s)]	[Product Description]	
LmxM.16.0005	LmxM.16.0005.1	L. mexicana MHOM/GT/2001/U1103	LmxM.16: 1,811 - 2,368 (-)	anti-silencing protein a-like protein	
LmxM.16.0010	LmxM.16.0010.1	L. mexicana MHOM/GT/2001/U1103	LmxM.16: 2,831 - 3,955 (-)	hypothetical protein, conserved	
LmxM.16.0020	LmxM.16.0020.1	L. mexicana MHOM/GT/2001/U1103	LmxM.16: 4,499 - 5,143 (-)	hypothetical protein, conserved	
LmxM.16.0030	LmxM.16.0030.1	L. mexicana MHOM/GT/2001/U1103	LmxM.16: 5,640 - 6,737 (-)	hypothetical protein, conserved	
LmxM.16.0040	LmxM.16.0040.1	L. mexicana MHOM/GT/2001/U1103	LmxM.16: 7,418 - 8,371 (-)	hypothetical protein, conserved	
LmxM.16.0050	LmxM.16.0050.1	L. mexicana MHOM/GT/2001/U1103	LmxM.16: 8,970 - 10,943 (-)	hypothetical protein, conserved	
LmxM.16.0060	LmxM.16.0060.1	L. mexicana MHOM/GT/2001/U1103	LmxM.16: 11,911 - 14,790 (-)	peroxisome assembly protein, putative	
LmxM.16.0070	LmxM.16.0070.1	L. mexicana MHOM/GT/2001/U1103	LmxM.16: 15,325 - 16,524 (-)	hypothetical protein, conserved	
LmxM.16.0080	LmxM.16.0080.1	L. mexicana MHOM/GT/2001/U1103	LmxM.16: 17,926 - 20,136 (-)	hypothetical protein, conserved	
LmxM.16.0090	LmxM.16.0090.1	L. mexicana MHOM/GT/2001/U1103	LmxM.16: 22,936 - 23,913 (-)	hypothetical protein, conserved	
LmxM.16.0100	LmxM.16.0100.1	L. mexicana MHOM/GT/2001/U1103	LmxM.16: 24,962 - 27,058 (-)	hypothetical protein, conserved	
LmxM.16.0110	LmxM.16.0110.1	L. mexicana MHOM/GT/2001/U1103	LmxM.16: 29,085 - 31,565 (-)	hypothetical protein, conserved	
LmxM.16.0120	LmxM.16.0120.1	L. mexicana MHOM/GT/2001/U1103	LmxM.16: 32,447 - 34,819 (-)	hypothetical protein, conserved	
LmxM.16.0130	LmxM.16.0130.1	L. mexicana MHOM/GT/2001/U1103	LmxM.16: 35,644 - 36,270 (-)	hypothetical protein, unknown function	
LmxM.16.0131	LmxM.16.0131.1	L. mexicana MHOM/GT/2001/U1103	LmxM.16: 38,426 - 39,052 (-)	hypothetical protein, unknown function	
LmxM.16.0140	LmxM.16.0140.1	L. mexicana MHOM/GT/2001/U1103	LmxM.16: 42,123 - 42,629 (-)	eukaryotic translation initiation factor 1A, putative	
LmxM.16.0150	LmxM.16.0150.1	L. mexicana MHOM/GT/2001/U1103	LmxM.16: 43,824 - 44,441 (-)	hypothetical protein, conserved	
LmxM.16.0160	LmxM.16.0160.1	L. mexicana MHOM/GT/2001/U1103	LmxM.16: 45,474 - 46,391 (-)	50S ribosomal protein L17, putative	
LmxM.16.0170	LmxM.16.0170.1	L. mexicana MHOM/GT/2001/U1103	LmxM.16: 46,863 - 60,179 (-)	hypothetical protein, conserved	
LmxM.16.0180	LmxM.16.0180.1	L. mexicana MHOM/GT/2001/U1103	LmxM.16: 62,736 - 63,188 (-)	hypothetical protein, conserved	
LmxM.16.0190	LmxM.16.0190.1	L. mexicana MHOM/GT/2001/U1103	LmxM.16: 65,578 - 66,648 (-)	hypothetical protein, conserved	
LmxM.16.0200	LmxM.16.0200.1	L. mexicana MHOM/GT/2001/U1103	LmxM.16: 68,318 - 69,217 (-)	mitochondrial ornithine carrier protein-like protein	
LmxM.16.0210	LmxM.16.0210.1	L. mexicana MHOM/GT/2001/U1103	LmxM.16: 73,109 - 74,260 (-)	mitochondrial ornithine transporter 1-like protein	
LmxM.16.0220	LmxM.16.0220.1	L. mexicana MHOM/GT/2001/U1103	LmxM.16: 75,373 - 75,768 (-)	hypothetical protein, unknown function	
LmxM.16.0230	LmxM.16.0230.1	L. mexicana MHOM/GT/2001/U1103	LmxM.16: 77,210 - 77,737 (-)	protein tyrosine phosphatase-like protein	
