Chromosome: TcChr37-S
Organism: Trypanosoma cruzi CL Brener Esmeraldo-like
Origins: 
677901 
Length: 1355803 bases
Replication Speed: 67 b/s
Transcription Regions: 
(52112, 1391) (52570, 53058) (82050, 55821) (84530, 228433) (238875, 230436) (238952, 503973) (506017, 505637) (509120, 691121) (777404, 691351) (780525, 780597) (780712, 780641) (780801, 781147) (871311, 781566) (871454, 1010757) (1207167, 1012011) (1265318, 1326144) (1335791, 1335300) (1336782, 1355692) 

Origin at position 677901 activated at 8
Head collision with transcription machinery around base 746505
Head collision with transcription machinery around base 561444
Head collision with transcription machinery around base 748597
Head collision with transcription machinery around base 754093
Head collision with transcription machinery around base 770525
Head collision with transcription machinery around base 555514
Head collision with transcription machinery around base 802157
Head collision with transcription machinery around base 815836
Head collision with transcription machinery around base 534844
Head collision with transcription machinery around base 525778
Head collision with transcription machinery around base 818118
Head collision with transcription machinery around base 524777
Head collision with transcription machinery around base 511641
Head collision with transcription machinery around base 832832
Head collision with transcription machinery around base 491921
Head collision with transcription machinery around base 841921
Head collision with transcription machinery around base 484724
Head collision with transcription machinery around base 844898
Head collision with transcription machinery around base 468656
Head collision with transcription machinery around base 455481
Head collision with transcription machinery around base 861878
Head collision with transcription machinery around base 437046
Head collision with transcription machinery around base 422496
Head collision with transcription machinery around base 418618
Tail collision with transcription machinery around base 905131
Tail collision with transcription machinery around base 959509
Head collision with transcription machinery around base 1028265
Head collision with transcription machinery around base 1045845
Head collision with transcription machinery around base 400468
Head collision with transcription machinery around base 380453
Head collision with transcription machinery around base 1054494
Head collision with transcription machinery around base 369207
Head collision with transcription machinery around base 1063137
Head collision with transcription machinery around base 359989
Head collision with transcription machinery around base 342944
Head collision with transcription machinery around base 1063696
Head collision with transcription machinery around base 336366
Head collision with transcription machinery around base 1068220
Head collision with transcription machinery around base 323204
Head collision with transcription machinery around base 319631
Head collision with transcription machinery around base 1076727
Head collision with transcription machinery around base 1080560
Head collision with transcription machinery around base 1094759
Head collision with transcription machinery around base 308062
Head collision with transcription machinery around base 1104185
Head collision with transcription machinery around base 1115120
Head collision with transcription machinery around base 1122584
Head collision with transcription machinery around base 300319
Head collision with transcription machinery around base 297717
Head collision with transcription machinery around base 1128560
Head collision with transcription machinery around base 287670
Head collision with transcription machinery around base 1135589
Head collision with transcription machinery around base 1141721
Head collision with transcription machinery around base 280688
Head collision with transcription machinery around base 1145627
Head collision with transcription machinery around base 262200
Head collision with transcription machinery around base 1147561
Head collision with transcription machinery around base 248566
Head collision with transcription machinery around base 1157193
Head collision with transcription machinery around base 228323
Head collision with transcription machinery around base 1160442
Head collision with transcription machinery around base 1168409
Head collision with transcription machinery around base 210210
Head collision with transcription machinery around base 1172386
Head collision with transcription machinery around base 1190835
Head collision with transcription machinery around base 1203151
Head collision with transcription machinery around base 200816
Head collision with transcription machinery around base 187446
Tail collision with transcription machinery around base 1293613
Head collision with transcription machinery around base 172784
Head collision with transcription machinery around base 167338
Head collision with transcription machinery around base 153573
Head collision with transcription machinery around base 133712
Head collision with transcription machinery around base 124731
Head collision with transcription machinery around base 104257
Head collision with transcription machinery around base 97966
Head collision with transcription machinery around base 89037
Tail collision with transcription machinery around base 37600
Duration: 611656

