[Gene ID]	[source_id]	[Organism]	[Genomic Location(s)]	[Product Description]	
Tb11.01.2730	Tb11.01.2730.1	T. brucei brucei TREU927	Tb927_11_v5.1: 2,924,995 - 2,933,789 (+)	hypothetical protein, conserved	
Tb11.01.6240	Tb11.01.6240.1	T. brucei brucei TREU927	Tb927_11_v5.1: 3,882,531 - 3,883,913 (+)	expression site-associated gene 2 (ESAG2) protein, putative	
Tb11.01.6250	Tb11.01.6250:mRNA	T. brucei brucei TREU927	Tb927_11_v5.1: 3,884,100 - 3,887,100 (+)	expression site-associated gene 11 (ESAG11) protein, putative	
Tb11.02.5090	Tb11.02.5090.1	T. brucei brucei TREU927	Tb927_11_v5.1: 2,027,797 - 2,028,567 (+)	proliferator-activated receptor-interacting protein (PRIP) interacting protein (PIMT), putative, pseudogene	
Tb11.02.5105	Tb11.02.5105:mRNA	T. brucei brucei TREU927	Tb927_11_v5.1: 2,030,528 - 2,030,971 (+)	Present in the outer mitochondrial membrane proteome 15	
Tb11.02.5360	Tb11.02.5360:mRNA	T. brucei brucei TREU927	Tb927_11_v5.1: 2,096,313 - 2,097,920 (+)	hypothetical protein, conserved	
Tb11.02.5370	Tb11.02.5370.1	T. brucei brucei TREU927	Tb927_11_v5.1: 2,097,609 - 2,099,407 (+)	hypothetical protein, conserved	
Tb11.02.5380	Tb11.02.5380.1	T. brucei brucei TREU927	Tb927_11_v5.1: 2,099,504 - 2,102,422 (+)	exosome complex exonuclease RRP44p homologue	
Tb11.02.5390	Tb11.02.5390:mRNA	T. brucei brucei TREU927	Tb927_11_v5.1: 2,102,759 - 2,106,050 (+)	mRNA processing protein, putative	
Tb11.02.5400	Tb11.02.5400:mRNA	T. brucei brucei TREU927	Tb927_11_v5.1: 2,106,628 - 2,107,839 (+)	cystathionine beta-synthase, putative	
Tb11.02.5410	Tb11.02.5410:mRNA	T. brucei brucei TREU927	Tb927_11_v5.1: 2,109,004 - 2,109,898 (+)	ubiquitin activating enzyme (E1) subunit Aos1, putative	
Tb11.02.5420	Tb11.02.5420:mRNA	T. brucei brucei TREU927	Tb927_11_v5.1: 2,110,579 - 2,112,772 (-)	NADPH-cytochrome p450 reductase, putative	
Tb11.02.5430	Tb11.02.5430:mRNA	T. brucei brucei TREU927	Tb927_11_v5.1: 2,114,083 - 2,115,378 (-)	hypothetical protein, conserved	
Tb11.02.5440	Tb11.02.5440:mRNA	T. brucei brucei TREU927	Tb927_11_v5.1: 2,115,792 - 2,117,437 (-)	hypothetical protein, conserved	
Tb11.1431	Tb11.1431.1	T. brucei brucei TREU927	Tb927_11_v5.1: 5,189,426 - 5,190,784 (+)	variant surface glycoprotein (VSG, pseudogene), putative	
Tb11.1441	Tb11.1441.1	T. brucei brucei TREU927	Tb927_11_v5.1: 5,192,695 - 5,193,162 (+)	variant surface glycoprotein (VSG, pseudogene), fragment	
Tb11.1451	Tb11.1451.1	T. brucei brucei TREU927	Tb927_11_v5.1: 5,195,189 - 5,197,453 (+)	variant surface glycoprotein (VSG), putative	
Tb11.NT.1	Tb11.NT.1:ncRNA	T. brucei brucei TREU927	Tb927_11_v5.1: 35,747 - 36,183 (-)	Noncoding RNA, putative	
