[Gene ID]	[Transcript ID]	[Organism]	[Genomic Location(s)]	[Product Description]	
TcCLB.477079.10	TcCLB.477079.10:mRNA	T. cruzi CL Brener Esmeraldo-like	TcChr29-S: 647,904 - 648,668 (+)	protein kinase, putative	
TcCLB.503579.10	TcCLB.503579.10:mRNA	T. cruzi CL Brener Esmeraldo-like	TcChr29-S: 762,685 - 766,566 (+)	hypothetical protein, conserved	
TcCLB.503579.100	TcCLB.503579.100:mRNA	T. cruzi CL Brener Esmeraldo-like	TcChr29-S: 781,871 - 782,917 (+)	nucleotide-binding protein, putative	
TcCLB.503579.110	TcCLB.503579.110:mRNA	T. cruzi CL Brener Esmeraldo-like	TcChr29-S: 783,178 - 785,145 (+)	pseudouridylate synthase I, putative	
TcCLB.503579.119	TcCLB.503579.119:mRNA	T. cruzi CL Brener Esmeraldo-like	TcChr29-S: 785,422 - 785,709 (+)	hypothetical protein, conserved	
TcCLB.503579.130	TcCLB.503579.130:mRNA	T. cruzi CL Brener Esmeraldo-like	TcChr29-S: 786,258 - 787,538 (+)	hypothetical protein, conserved	
TcCLB.503579.140	TcCLB.503579.140:mRNA	T. cruzi CL Brener Esmeraldo-like	TcChr29-S: 787,702 - 788,382 (+)	hypothetical protein, conserved	
TcCLB.503579.150	TcCLB.503579.150:mRNA	T. cruzi CL Brener Esmeraldo-like	TcChr29-S: 788,530 - 790,263 (+)	RNA editing 3' terminal uridylyl transferase 2, putative	
TcCLB.503579.20	TcCLB.503579.20:mRNA	T. cruzi CL Brener Esmeraldo-like	TcChr29-S: 767,835 - 769,184 (+)	hypothetical protein, conserved	
TcCLB.503579.30	TcCLB.503579.30:mRNA	T. cruzi CL Brener Esmeraldo-like	TcChr29-S: 769,554 - 770,951 (+)	DNA polymerase sigma-like protein, putative	
TcCLB.503579.40	TcCLB.503579.40:mRNA	T. cruzi CL Brener Esmeraldo-like	TcChr29-S: 771,253 - 772,611 (+)	hypothetical protein, conserved	
TcCLB.503579.50	TcCLB.503579.50:mRNA	T. cruzi CL Brener Esmeraldo-like	TcChr29-S: 772,878 - 775,739 (+)	hypothetical protein, conserved	
TcCLB.503579.60	TcCLB.503579.60:mRNA	T. cruzi CL Brener Esmeraldo-like	TcChr29-S: 776,002 - 777,360 (+)	hypothetical protein	
TcCLB.503579.70	TcCLB.503579.70:mRNA	T. cruzi CL Brener Esmeraldo-like	TcChr29-S: 778,028 - 778,357 (+)	ATPase subunit 9, putative	
TcCLB.503579.80	TcCLB.503579.80:mRNA	T. cruzi CL Brener Esmeraldo-like	TcChr29-S: 779,043 - 780,344 (+)	hypothetical protein, conserved	
TcCLB.503579.90	TcCLB.503579.90:mRNA	T. cruzi CL Brener Esmeraldo-like	TcChr29-S: 780,796 - 781,554 (+)	hypothetical protein, conserved	
TcCLB.503899.10	TcCLB.503899.10:mRNA	T. cruzi CL Brener Esmeraldo-like	TcChr29-S: 670,262 - 671,839 (+)	heat shock 70 kDa protein, putative	
TcCLB.503899.100	TcCLB.503899.100:mRNA	T. cruzi CL Brener Esmeraldo-like	TcChr29-S: 688,410 - 691,868 (+)	hypothetical protein	
TcCLB.503899.110	TcCLB.503899.110:mRNA	T. cruzi CL Brener Esmeraldo-like	TcChr29-S: 692,502 - 692,996 (+)	glutathione peroxidase-like protein, putative	
TcCLB.503899.119	TcCLB.503899.119:mRNA	T. cruzi CL Brener Esmeraldo-like	TcChr29-S: 693,563 - 694,096 (+)	trypanothione/tryparedoxin dependent peroxidase 2, putative	
TcCLB.503899.130	TcCLB.503899.130:mRNA	T. cruzi CL Brener Esmeraldo-like	TcChr29-S: 694,698 - 695,234 (+)	glutathione peroxidase-like protein, putative	
TcCLB.503899.139	TcCLB.503899.139:mRNA	T. cruzi CL Brener Esmeraldo-like	TcChr29-S: 696,414 - 700,243 (+)	hypothetical protein, conserved	
TcCLB.503899.20	TcCLB.503899.20:mRNA	T. cruzi CL Brener Esmeraldo-like	TcChr29-S: 672,199 - 672,648 (+)	40S ribosomal protein S16, putative	
TcCLB.503899.30	TcCLB.503899.30:mRNA	T. cruzi CL Brener Esmeraldo-like	TcChr29-S: 672,910 - 673,359 (+)	40S ribosomal protein S16, putative	
TcCLB.503899.40	TcCLB.503899.40:mRNA	T. cruzi CL Brener Esmeraldo-like	TcChr29-S: 673,837 - 675,666 (+)	ISWI complex protein	
TcCLB.503899.50	TcCLB.503899.50:mRNA	T. cruzi CL Brener Esmeraldo-like	TcChr29-S: 676,369 - 678,981 (+)	RNA-editing complex protein MP100, putative	
TcCLB.503899.60	TcCLB.503899.60:mRNA	T. cruzi CL Brener Esmeraldo-like	TcChr29-S: 679,413 - 680,543 (+)	hypothetical protein, conserved	
