[Sequence ID]	[Length]	[Chromosome]	[Description]	
TcChr41-S	2,371,736	41	Trypanosoma cruzi CL Brener Esmeraldo-like	
TcChr40-S	2,036,759	40	Trypanosoma cruzi CL Brener Esmeraldo-like	
TcChr39-S	1,854,104	39	Trypanosoma cruzi CL Brener Esmeraldo-like	
TcChr38-S	1,444,805	38	Trypanosoma cruzi CL Brener Esmeraldo-like	
TcChr37-S	1,355,803	37	Trypanosoma cruzi CL Brener Esmeraldo-like	
TcChr35-S	1,186,946	35	Trypanosoma cruzi CL Brener Esmeraldo-like	
TcChr36-S	1,180,744	36	Trypanosoma cruzi CL Brener Esmeraldo-like	
TcChr34-S	1,065,764	34	Trypanosoma cruzi CL Brener Esmeraldo-like	
TcChr33-S	1,041,172	33	Trypanosoma cruzi CL Brener Esmeraldo-like	
TcChr32-S	968,069	32	Trypanosoma cruzi CL Brener Esmeraldo-like	
TcChr31-S	947,473	31	Trypanosoma cruzi CL Brener Esmeraldo-like	
TcChr29-S	870,934	29	Trypanosoma cruzi CL Brener Esmeraldo-like	
TcChr30-S	863,882	30	Trypanosoma cruzi CL Brener Esmeraldo-like	
TcChr28-S	853,233	28	Trypanosoma cruzi CL Brener Esmeraldo-like	
TcChr27-S	850,241	27	Trypanosoma cruzi CL Brener Esmeraldo-like	
TcChr25-S	822,374	25	Trypanosoma cruzi CL Brener Esmeraldo-like	
TcChr26-S	801,422	26	Trypanosoma cruzi CL Brener Esmeraldo-like	
TcChr24-S	779,922	24	Trypanosoma cruzi CL Brener Esmeraldo-like	
TcChr22-S	710,778	22	Trypanosoma cruzi CL Brener Esmeraldo-like	
TcChr21-S	704,149	21	Trypanosoma cruzi CL Brener Esmeraldo-like	
TcChr19-S	671,453	19	Trypanosoma cruzi CL Brener Esmeraldo-like	
TcChr20-S	656,799	20	Trypanosoma cruzi CL Brener Esmeraldo-like	
TcChr23-S	655,477	23	Trypanosoma cruzi CL Brener Esmeraldo-like	
TcChr18-S	655,081	18	Trypanosoma cruzi CL Brener Esmeraldo-like	
TcChr17-S	648,584	17	Trypanosoma cruzi CL Brener Esmeraldo-like	
TcChr16-S	646,207	16	Trypanosoma cruzi CL Brener Esmeraldo-like	
TcChr15-S	612,853	15	Trypanosoma cruzi CL Brener Esmeraldo-like	
TcChr14-S	598,625	14	Trypanosoma cruzi CL Brener Esmeraldo-like	
TcChr13-S	558,364	13	Trypanosoma cruzi CL Brener Esmeraldo-like	
TcChr12-S	533,093	12	Trypanosoma cruzi CL Brener Esmeraldo-like	
TcChr11-S	526,140	11	Trypanosoma cruzi CL Brener Esmeraldo-like	
TcChr10-S	518,846	10	Trypanosoma cruzi CL Brener Esmeraldo-like	
TcChr9-S	509,634	9	Trypanosoma cruzi CL Brener Esmeraldo-like	
TcChr8-S	393,423	8	Trypanosoma cruzi CL Brener Esmeraldo-like	
TcChr7-S	391,095	7	Trypanosoma cruzi CL Brener Esmeraldo-like	
TcChr6-S	389,024	6	Trypanosoma cruzi CL Brener Esmeraldo-like	
TcChr5-S	227,319	5	Trypanosoma cruzi CL Brener Esmeraldo-like	
TcChr4-S	200,401	4	Trypanosoma cruzi CL Brener Esmeraldo-like	
TcChr3-S	196,644	3	Trypanosoma cruzi CL Brener Esmeraldo-like	
TcChr2-S	151,740	2	Trypanosoma cruzi CL Brener Esmeraldo-like	
TcChr1-S	77,958	1	Trypanosoma cruzi CL Brener Esmeraldo-like	
