[Gene ID]	[source_id]	[Organism]	[Genomic Location(s)]	[Product Description]	
Tb427.02.100	Tb427.02.100-t26_1	T. brucei Lister strain 427	Tb427_02_v4: 1,704 - 4,193 (-)	retrotransposon hot spot protein 1 (RHS1), putative	
Tb427.02.1050	Tb427.02.1050-t26_1	T. brucei Lister strain 427	Tb427_02_v4: 174,923 - 176,435 (-)	retrotransposon hot spot protein 1 (RHS1), interrupted	
Tb427.02.1060	Tb427.02.1060-t26_1	T. brucei Lister strain 427	Tb427_02_v4: 177,898 - 178,350 (-)	retrotransposon hot spot protein 1 (RHS1), interrupted	
Tb427.02.1100	Tb427.02.1100-t26_1	T. brucei Lister strain 427	Tb427_02_v4: 185,142 - 186,887 (-)	retrotransposon hot spot protein 3 (RHS3), degenerate	
Tb427.02.1110	Tb427.02.1110-t26_1	T. brucei Lister strain 427	Tb427_02_v4: 187,824 - 189,660 (-)	DNA-directed RNA polymerase III subunit 2, degenerate	
Tb427.02.1120	Tb427.02.1120-t26_1	T. brucei Lister strain 427	Tb427_02_v4: 190,774 - 192,909 (-)	retrotransposon hot spot protein 4 (RHS4), point mutation	
Tb427.02.1130	Tb427.02.1130-t26_1	T. brucei Lister strain 427	Tb427_02_v4: 196,367 - 197,175 (-)	retrotransposon hot spot protein 3 (RHS3), interrupted, degenerate	
Tb427.02.1140	Tb427.02.1140-t26_1	T. brucei Lister strain 427	Tb427_02_v4: 197,253 - 198,665 (-)	retrotransposon hot spot protein 3 (RHS3), interrupted	
Tb427.02.1150	Tb427.02.1150-t26_1	T. brucei Lister strain 427	Tb427_02_v4: 201,655 - 203,001 (-)	retrotransposon hot spot protein 2 (RHS2), interrupted, degenerate	
Tb427.02.1160	Tb427.02.1160-t26_1	T. brucei Lister strain 427	Tb427_02_v4: 203,646 - 204,659 (-)	retrotransposon hot spot protein 2 (RHS2), interrupted, degenerate	
Tb427.02.1170	Tb427.02.1170-t26_1	T. brucei Lister strain 427	Tb427_02_v4: 205,591 - 207,618 (-)	retrotransposon hot spot protein 5 (RHS5), putative	
Tb427.02.1180	Tb427.02.1180-t26_1	T. brucei Lister strain 427	Tb427_02_v4: 210,995 - 212,734 (-)	retrotransposon hot spot protein 3 (RHS3), putative	
Tb427.02.1200	Tb427.02.1200-t26_1	T. brucei Lister strain 427	Tb427_02_v4: 216,939 - 218,769 (-)	DNA-directed RNA polymerase III subunit 2, degenerate	
Tb427.02.1210	Tb427.02.1210-t26_1	T. brucei Lister strain 427	Tb427_02_v4: 220,001 - 222,537 (-)	retrotransposon hot spot protein 4 (RHS4), putative	
Tb427.02.1250	Tb427.02.1250-t26_1	T. brucei Lister strain 427	Tb427_02_v4: 230,094 - 230,465 (+)	hypothetical protein	
Tb427.02.1260	Tb427.02.1260-t26_1	T. brucei Lister strain 427	Tb427_02_v4: 231,357 - 234,428 (+)	expression site-associated gene 4 (ESAG4), degenerate	
Tb427.02.1290	Tb427.02.1290-t26_1	T. brucei Lister strain 427	Tb427_02_v4: 235,262 - 235,528 (+)	hypothetical protein	
