[Gene ID]	[source_id]	[Organism]	[Genomic Location(s)]	[Product Description]	
Tb427.08.1000	Tb427.08.1000-t26_1	T. brucei Lister strain 427	Tb427_08_v4: 319,387 - 320,160 (-)	hypothetical protein, conserved	
Tb427.08.1010	Tb427.08.1010-t26_1	T. brucei Lister strain 427	Tb427_08_v4: 320,914 - 322,386 (-)	chaperone protein DNAj, putative	
Tb427.08.1020	Tb427.08.1020-t26_1	T. brucei Lister strain 427	Tb427_08_v4: 323,578 - 325,686 (-)	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase, putative	
Tb427.08.1030	Tb427.08.1030-t26_1	T. brucei Lister strain 427	Tb427_08_v4: 326,925 - 327,806 (-)	chaperone protein DNAj, putative	
Tb427.08.1040	Tb427.08.1040-t26_1	T. brucei Lister strain 427	Tb427_08_v4: 328,597 - 329,031 (-)	hypothetical protein, conserved	
Tb427.08.1050	Tb427.08.1050-t26_1	T. brucei Lister strain 427	Tb427_08_v4: 330,888 - 338,849 (-)	hypothetical protein, conserved	
Tb427.08.1060	Tb427.08.1060-t26_1	T. brucei Lister strain 427	Tb427_08_v4: 339,794 - 342,019 (-)	malonyl-CoA decarboxylase, mitochondrial precursor, putative	
Tb427.08.1070	Tb427.08.1070-t26_1	T. brucei Lister strain 427	Tb427_08_v4: 342,574 - 345,228 (-)	hypothetical protein, conserved	
Tb427.08.1080	Tb427.08.1080-t26_1	T. brucei Lister strain 427	Tb427_08_v4: 345,928 - 346,518 (-)	caltractin, putative	
Tb427.08.1090	Tb427.08.1090-t26_1	T. brucei Lister strain 427	Tb427_08_v4: 347,726 - 349,966 (-)	NPAPL	
Tb427.08.1100	Tb427.08.1100-t26_1	T. brucei Lister strain 427	Tb427_08_v4: 351,728 - 354,386 (-)	protein kinase, putative	
Tb427.08.1110	Tb427.08.1110-t26_1	T. brucei Lister strain 427	Tb427_08_v4: 355,743 - 356,315 (-)	40S ribosomal protein S9, putative	
Tb427.08.1120	Tb427.08.1120-t26_1	T. brucei Lister strain 427	Tb427_08_v4: 357,192 - 357,563 (-)	hypothetical protein, conserved	
Tb427.08.1130	Tb427.08.1130-t26_1	T. brucei Lister strain 427	Tb427_08_v4: 359,855 - 364,147 (-)	protein phosphatase with EF-Hand domains, putative	
Tb427.08.1140	Tb427.08.1140-t26_1	T. brucei Lister strain 427	Tb427_08_v4: 365,233 - 366,288 (-)	hypothetical protein, conserved	
Tb427.08.1150	Tb427.08.1150-t26_1	T. brucei Lister strain 427	Tb427_08_v4: 367,523 - 368,551 (-)	hypothetical protein, conserved	
Tb427.08.1160	Tb427.08.1160-t26_1	T. brucei Lister strain 427	Tb427_08_v4: 369,527 - 372,835 (-)	vacuolar-type Ca2+-ATPase, putative	
Tb427.08.1170	Tb427.08.1170-t26_1	T. brucei Lister strain 427	Tb427_08_v4: 373,488 - 374,483 (-)	hypothetical protein, conserved	
Tb427.08.1180	Tb427.08.1180-t26_1	T. brucei Lister strain 427	Tb427_08_v4: 375,644 - 378,964 (-)	vacuolar-type Ca2+-ATPase 1	
Tb427.08.1190	Tb427.08.1190-t26_1	T. brucei Lister strain 427	Tb427_08_v4: 379,617 - 380,612 (-)	hypothetical protein, conserved	
Tb427.08.1200	Tb427.08.1200-t26_1	T. brucei Lister strain 427	Tb427_08_v4: 381,777 - 385,019 (-)	vacuolar-type Ca2+-ATPase 2	
Tb427.08.1210	Tb427.08.1210-t26_1	T. brucei Lister strain 427	Tb427_08_v4: 385,866 - 387,926 (-)	hypothetical protein, conserved	
Tb427.08.1220	Tb427.08.1220-t26_1	T. brucei Lister strain 427	Tb427_08_v4: 388,346 - 389,092 (-)	hypothetical protein, conserved (pseudogene)	
Tb427.08.1230	Tb427.08.1230-t26_1	T. brucei Lister strain 427	Tb427_08_v4: 389,734 - 390,285 (-)	hypothetical protein, conserved	
Tb427.08.1240	Tb427.08.1240-t26_1	T. brucei Lister strain 427	Tb427_08_v4: 391,446 - 393,140 (-)	electron transfer flavoprotein-ubiquinone oxidoreductase, putative	
Tb427.08.1250	Tb427.08.1250-t26_1	T. brucei Lister strain 427	Tb427_08_v4: 394,366 - 396,777 (-)	hypothetical protein, conserved	
Tb427.08.1260	Tb427.08.1260-t26_1	T. brucei Lister strain 427	Tb427_08_v4: 397,449 - 400,553 (-)	hypothetical protein, conserved	
Tb427.08.1270	Tb427.08.1270-t26_1	T. brucei Lister strain 427	Tb427_08_v4: 401,571 - 403,259 (-)	hypothetical protein, conserved	
Tb427.08.1280	Tb427.08.1280-t26_1	T. brucei Lister strain 427	Tb427_08_v4: 405,259 - 409,440 (-)	hypothetical protein, conserved	
Tb427.08.1290	Tb427.08.1290-t26_1	T. brucei Lister strain 427	Tb427_08_v4: 414,206 - 417,526 (-)	hypothetical protein, conserved	
Tb427.08.1300	Tb427.08.1300-t26_1	T. brucei Lister strain 427	Tb427_08_v4: 419,910 - 422,078 (-)	hypothetical protein, conserved	
Tb427.08.1310	Tb427.08.1310-t26_1	T. brucei Lister strain 427	Tb427_08_v4: 424,714 - 425,718 (-)	adenine nucleotide mitochondrial translocator, putative	
Tb427.08.1320	Tb427.08.1320-t26_1	T. brucei Lister strain 427	Tb427_08_v4: 426,933 - 427,655 (-)	hypothetical protein, conserved	
Tb427.08.1330	Tb427.08.1330-t26_1	T. brucei Lister strain 427	Tb427_08_v4: 428,299 - 429,129 (-)	60S ribosomal protein L7a, putative	
Tb427.08.1340	Tb427.08.1340-t26_1	T. brucei Lister strain 427	Tb427_08_v4: 429,385 - 430,215 (-)	60S ribosomal protein L7a, putative	
Tb427.08.1350	Tb427.08.1350-t26_1	T. brucei Lister strain 427	Tb427_08_v4: 430,572 - 431,660 (-)	hypothetical protein, conserved	
Tb427.08.1360	Tb427.08.1360-t26_1	T. brucei Lister strain 427	Tb427_08_v4: 432,193 - 444,867 (-)	hypothetical protein, conserved	
