[Gene ID]	[source_id]	[Organism]	[Genomic Location(s)]	[Product Description]	
Tb427.01.100	Tb427.01.100-t26_1	T. brucei Lister strain 427	Tb427_01_v4: 57,396 - 59,181 (-)	RNA polymerase (pseudogene), putative	
Tb427.01.1000	Tb427.01.1000-t26_1	T. brucei Lister strain 427	Tb427_01_v4: 289,975 - 291,237 (+)	developmentally regulated phosphoprotein	
Tb427.01.1010	Tb427.01.1010-t26_1	T. brucei Lister strain 427	Tb427_01_v4: 291,667 - 293,826 (+)	hypothetical protein, conserved	
Tb427.01.1020	Tb427.01.1020-t26_1	T. brucei Lister strain 427	Tb427_01_v4: 294,311 - 295,591 (+)	hypothetical protein, conserved	
Tb427.01.1030	Tb427.01.1030-t26_1	T. brucei Lister strain 427	Tb427_01_v4: 297,053 - 298,426 (+)	hypothetical protein, conserved	
Tb427.01.1040	Tb427.01.1040-t26_1	T. brucei Lister strain 427	Tb427_01_v4: 298,857 - 299,366 (+)	hypothetical protein, conserved	
Tb427.01.1050	Tb427.01.1050-t26_1	T. brucei Lister strain 427	Tb427_01_v4: 300,183 - 303,539 (+)	hypothetical protein, conserved	
Tb427.01.1060	Tb427.01.1060-t26_1	T. brucei Lister strain 427	Tb427_01_v4: 304,022 - 304,939 (+)	hypothetical protein, conserved	
Tb427.01.1080	Tb427.01.1080-t26_1	T. brucei Lister strain 427	Tb427_01_v4: 305,931 - 307,388 (+)	hypothetical protein, conserved	
Tb427.01.110	Tb427.01.110-t26_1	T. brucei Lister strain 427	Tb427_01_v4: 59,856 - 60,182 (+)	hypothetical protein, conserved	
Tb427.01.1100	Tb427.01.1100-t26_1	T. brucei Lister strain 427	Tb427_01_v4: 308,793 - 311,705 (+)	hypothetical protein, conserved	
Tb427.01.1120	Tb427.01.1120-t26_1	T. brucei Lister strain 427	Tb427_01_v4: 312,548 - 313,657 (+)	hypothetical protein, conserved	
Tb427.01.1130	Tb427.01.1130-t26_1	T. brucei Lister strain 427	Tb427_01_v4: 314,071 - 315,924 (+)	glycerol-3-phosphate dehydrogenase (FAD-dependent), putative	
Tb427.01.1140	Tb427.01.1140-t26_1	T. brucei Lister strain 427	Tb427_01_v4: 316,281 - 317,354 (+)	hypothetical protein, conserved	
Tb427.01.1150	Tb427.01.1150-t26_1	T. brucei Lister strain 427	Tb427_01_v4: 317,922 - 319,364 (+)	zeta tubulin	
Tb427.01.1160	Tb427.01.1160-t26_1	T. brucei Lister strain 427	Tb427_01_v4: 319,746 - 321,341 (+)	hypothetical protein, conserved	
Tb427.01.1170	Tb427.01.1170-t26_1	T. brucei Lister strain 427	Tb427_01_v4: 321,718 - 321,966 (+)	DNA-directed RNA polymerase subunit RBP12, putative	
Tb427.01.120	Tb427.01.120-t26_1	T. brucei Lister strain 427	Tb427_01_v4: 60,254 - 62,833 (-)	retrotransposon hot spot protein 4 (RHS4), putative	
