[Gene ID]	[source_id]	[Organism]	[Genomic Location(s)]	[Product Description]	
Tb1.NT.24	Tb1.NT.24:ncRNA	T. brucei brucei TREU927	Tb927_01_v5.1: 359,493 - 360,126 (+)	Noncoding RNA, putative	
Tb1.NT.25	Tb1.NT.25:ncRNA	T. brucei brucei TREU927	Tb927_01_v5.1: 385,002 - 385,556 (+)	Noncoding RNA, putative	
Tb1.NT.27	Tb1.NT.27:ncRNA	T. brucei brucei TREU927	Tb927_01_v5.1: 570,070 - 570,299 (+)	Noncoding RNA, putative	
Tb927.1.05	Tb927.1.05:mRNA	T. brucei brucei TREU927	Tb927_01_v5.1: 381 - 1,983 (-)	variant surface glycoprotein (VSG), putative	
Tb927.1.10	Tb927.1.10:mRNA	T. brucei brucei TREU927	Tb927_01_v5.1: 6,871 - 7,203 (+)	hypothetical protein	
Tb927.1.100	Tb927.1.100:pseudogenic_transcript	T. brucei brucei TREU927	Tb927_01_v5.1: 52,834 - 59,047 (-)	RNA polymerase (pseudogene), putative	
Tb927.1.1000	Tb927.1.1000:mRNA	T. brucei brucei TREU927	Tb927_01_v5.1: 289,878 - 291,155 (+)	developmentally regulated phosphoprotein	
Tb927.1.1010	Tb927.1.1010:mRNA	T. brucei brucei TREU927	Tb927_01_v5.1: 291,565 - 293,744 (+)	E3 ubiquitin-protein ligase KCMF1, putative	
Tb927.1.1020	Tb927.1.1020:mRNA	T. brucei brucei TREU927	Tb927_01_v5.1: 294,104 - 296,172 (+)	leucine-rich repeat-containing protein	
Tb927.1.1025	Tb927.1.1025:mRNA	T. brucei brucei TREU927	Tb927_01_v5.1: 296,302 - 296,645 (+)	conserved protein, unknown function	
Tb927.1.1030	Tb927.1.1030:mRNA	T. brucei brucei TREU927	Tb927_01_v5.1: 296,918 - 298,629 (+)	leucine-rich repeat protein (LRRP), putative	
Tb927.1.1050	Tb927.1.1050:mRNA	T. brucei brucei TREU927	Tb927_01_v5.1: 298,769 - 303,453 (+)	Metallo-dependent phosphatase-like domain-containing protein	
Tb927.1.1060	Tb927.1.1060:mRNA	T. brucei brucei TREU927	Tb927_01_v5.1: 303,867 - 305,683 (+)	Cell cycle checkpoint protein RAD1-like, putative	
Tb927.1.1080	Tb927.1.1080:mRNA	T. brucei brucei TREU927	Tb927_01_v5.1: 305,834 - 307,362 (+)	TFIIH basal transcription factor subunit, putative	
Tb927.1.1090	Tb927.1.1090:mRNA	T. brucei brucei TREU927	Tb927_01_v5.1: 307,531 - 308,220 (+)	hypothetical protein, conserved	
Tb927.1.110	Tb927.1.110:mRNA	T. brucei brucei TREU927	Tb927_01_v5.1: 59,858 - 60,184 (+)	hypothetical protein, conserved	
Tb927.1.1100	Tb927.1.1100:mRNA	T. brucei brucei TREU927	Tb927_01_v5.1: 308,515 - 311,616 (+)	Basal body protein	
Tb927.1.1120	Tb927.1.1120:mRNA	T. brucei brucei TREU927	Tb927_01_v5.1: 312,383 - 313,566 (+)	ribosomal RNA-processing protein 8, putative	
Tb927.1.1130	Tb927.1.1130:mRNA	T. brucei brucei TREU927	Tb927_01_v5.1: 313,928 - 315,833 (+)	glycerol-3-phosphate dehydrogenase (FAD-dependent), putative	
Tb927.1.1140	Tb927.1.1140:mRNA	T. brucei brucei TREU927	Tb927_01_v5.1: 316,136 - 317,263 (+)	Transmembrane protein 231, putative	
Tb927.1.1150	Tb927.1.1150:mRNA	T. brucei brucei TREU927	Tb927_01_v5.1: 317,686 - 319,537 (+)	zeta tubulin	
Tb927.1.1160	Tb927.1.1160:mRNA	T. brucei brucei TREU927	Tb927_01_v5.1: 319,645 - 321,248 (+)	kinetoplast ribosomal PPR-repeat containing protein 3	
Tb927.1.1170	Tb927.1.1170:mRNA	T. brucei brucei TREU927	Tb927_01_v5.1: 321,591 - 321,873 (+)	DNA-directed RNA polymerase 2, RPB12 subunit	
Tb927.1.1175	Tb927.1.1175:mRNA	T. brucei brucei TREU927	Tb927_01_v5.1: 322,204 - 322,845 (+)	hypothetical protein	
Tb927.1.120	Tb927.1.120:mRNA	T. brucei brucei TREU927	Tb927_01_v5.1: 60,218 - 62,886 (-)	retrotransposon hot spot protein 4 (RHS4), putative	
Tb927.1.1200	Tb927.1.1200:mRNA	T. brucei brucei TREU927	Tb927_01_v5.1: 322,959 - 324,540 (+)	SSU ribosomal protein, mitochondrial	
Tb927.1.1210	Tb927.1.1210:mRNA	T. brucei brucei TREU927	Tb927_01_v5.1: 325,360 - 326,379 (+)	conserved protein, unknown function	
Tb927.1.1220	Tb927.1.1220:mRNA	T. brucei brucei TREU927	Tb927_01_v5.1: 326,506 - 327,395 (+)	RWD domain-containing protein	
Tb927.1.1230	Tb927.1.1230:mRNA	T. brucei brucei TREU927	Tb927_01_v5.1: 327,626 - 329,839 (+)	chaperone protein DnaJ, putative	
Tb927.1.1240	Tb927.1.1240:mRNA	T. brucei brucei TREU927	Tb927_01_v5.1: 330,231 - 332,871 (+)	cytidine triphosphate synthase, putative	
Tb927.1.1270	Tb927.1.1270:mRNA	T. brucei brucei TREU927	Tb927_01_v5.1: 334,682 - 335,988 (+)	homocysteine S-methyltransferase, putative	
Tb927.1.1300	Tb927.1.1300:mRNA	T. brucei brucei TREU927	Tb927_01_v5.1: 338,011 - 339,021 (+)	hypothetical transmembrane protein, conserved	
Tb927.1.1310	Tb927.1.1310:mRNA	T. brucei brucei TREU927	Tb927_01_v5.1: 339,514 - 341,181 (+)	transmembrane protein, conserved	
Tb927.1.1330	Tb927.1.1330:mRNA	T. brucei brucei TREU927	Tb927_01_v5.1: 341,280 - 342,519 (+)	Mitochondrial Editosome-like Complex TUTase	
Tb927.1.1340	Tb927.1.1340:mRNA	T. brucei brucei TREU927	Tb927_01_v5.1: 342,870 - 345,206 (+)	Quinonprotein alcohol dehydrogenase-like protein, putative	
Tb927.1.1350	Tb927.1.1350:mRNA	T. brucei brucei TREU927	Tb927_01_v5.1: 345,440 - 349,875 (+)	kinesin heavy chain, putative	
Tb927.1.1370	Tb927.1.1370:mRNA	T. brucei brucei TREU927	Tb927_01_v5.1: 350,008 - 353,225 (+)	rRNA biogenesis protein, putative	
Tb927.1.1380	Tb927.1.1380:mRNA	T. brucei brucei TREU927	Tb927_01_v5.1: 352,622 - 355,913 (+)	serine/threonine protein phosphatase 2A regulatory subunit, putative	
Tb927.1.1390	Tb927.1.1390:mRNA	T. brucei brucei TREU927	Tb927_01_v5.1: 356,851 - 358,003 (+)	hypothetical protein, conserved	
Tb927.1.1400	Tb927.1.1400:mRNA	T. brucei brucei TREU927	Tb927_01_v5.1: 358,331 - 358,941 (+)	Overproducer of inositol protein 10 homolog, putative	
Tb927.1.1420	Tb927.1.1420:mRNA	T. brucei brucei TREU927	Tb927_01_v5.1: 360,216 - 362,252 (+)	conserved protein, unknown function	
Tb927.1.1470	Tb927.1.1470:mRNA	T. brucei brucei TREU927	Tb927_01_v5.1: 366,500 - 371,255 (+)	conserved protein, unknown function	
Tb927.1.1500	Tb927.1.1500:mRNA	T. brucei brucei TREU927	Tb927_01_v5.1: 374,289 - 380,825 (+)	conserved protein, unknown function	
Tb927.1.1530	Tb927.1.1530:mRNA	T. brucei brucei TREU927	Tb927_01_v5.1: 385,687 - 394,564 (+)	protein kinase, putative	
Tb927.1.1540	Tb927.1.1540:mRNA	T. brucei brucei TREU927	Tb927_01_v5.1: 394,770 - 397,050 (+)	Tubulin/FtsZ family, putative	
Tb927.1.1550	Tb927.1.1550:mRNA	T. brucei brucei TREU927	Tb927_01_v5.1: 397,182 - 399,439 (+)	tubulin-tyrosine ligase, putative	
Tb927.1.1560	Tb927.1.1560:mRNA	T. brucei brucei TREU927	Tb927_01_v5.1: 399,582 - 403,619 (+)	vesicular-fusion protein nsf, putative	
Tb927.1.1580	Tb927.1.1580:mRNA	T. brucei brucei TREU927	Tb927_01_v5.1: 403,754 - 405,277 (+)	electron transport protein SCO1/2, putative	
Tb927.1.1600	Tb927.1.1600:mRNA	T. brucei brucei TREU927	Tb927_01_v5.1: 405,433 - 410,249 (+)	pseudouridine synthase TruD, putative	
Tb927.1.1610	Tb927.1.1610:mRNA	T. brucei brucei TREU927	Tb927_01_v5.1: 411,183 - 412,571 (+)	hypothetical protein, conserved	
Tb927.1.1620	Tb927.1.1620:mRNA	T. brucei brucei TREU927	Tb927_01_v5.1: 412,695 - 415,370 (+)	ATP-dependent DEAD/H RNA helicase, putative	
Tb927.1.1630	Tb927.1.1630:mRNA	T. brucei brucei TREU927	Tb927_01_v5.1: 415,584 - 416,167 (+)	transcription elongation factor 1 homolog	
Tb927.1.1640	Tb927.1.1640:mRNA	T. brucei brucei TREU927	Tb927_01_v5.1: 416,749 - 417,804 (+)	hypothetical protein, conserved	
Tb927.1.1650	Tb927.1.1650:mRNA	T. brucei brucei TREU927	Tb927_01_v5.1: 417,999 - 418,622 (+)	hypothetical protein, conserved	
Tb927.1.1660	Tb927.1.1660:mRNA	T. brucei brucei TREU927	Tb927_01_v5.1: 418,784 - 419,716 (+)	ESCO acetyltransferase domain-containing protein	
