[Gene ID]	[source_id]	[Organism]	[Genomic Location(s)]	[Product Description]	
LmxM.01.0010	LmxM.01.0010.1	L. mexicana MHOM/GT/2001/U1103	LmxM.01: 3,968 - 4,972 (-)	hypothetical protein, unknown function	
LmxM.01.0020	LmxM.01.0020.1	L. mexicana MHOM/GT/2001/U1103	LmxM.01: 6,039 - 7,664 (-)	hypothetical protein, conserved	
LmxM.01.0030	LmxM.01.0030.1	L. mexicana MHOM/GT/2001/U1103	LmxM.01: 9,205 - 11,223 (-)	Kinesin-13 1, putative	
LmxM.01.0040	LmxM.01.0040.1	L. mexicana MHOM/GT/2001/U1103	LmxM.01: 12,179 - 12,739 (-)	hypothetical protein, unknown function	
LmxM.01.0050	LmxM.01.0050.1	L. mexicana MHOM/GT/2001/U1103	LmxM.01: 14,846 - 16,843 (-)	carboxylase, putative	
LmxM.01.0060	LmxM.01.0060.1	L. mexicana MHOM/GT/2001/U1103	LmxM.01: 18,133 - 18,888 (-)	hypothetical protein, conserved	
LmxM.01.0070	LmxM.01.0070.1	L. mexicana MHOM/GT/2001/U1103	LmxM.01: 19,942 - 21,741 (-)	hypothetical protein, conserved	
LmxM.01.0080	LmxM.01.0080.1	L. mexicana MHOM/GT/2001/U1103	LmxM.01: 22,580 - 23,293 (-)	hypothetical protein, conserved	
LmxM.01.0090	LmxM.01.0090.1	L. mexicana MHOM/GT/2001/U1103	LmxM.01: 24,491 - 25,315 (-)	UMP-CMP kinase, mitochondrial, putative	
LmxM.01.0100	LmxM.01.0100.1	L. mexicana MHOM/GT/2001/U1103	LmxM.01: 25,652 - 26,599 (-)	hypothetical protein, conserved	
LmxM.01.0110	LmxM.01.0110.1	L. mexicana MHOM/GT/2001/U1103	LmxM.01: 27,727 - 28,314 (-)	glutaredoxin-like protein	
LmxM.01.0120	LmxM.01.0120.1	L. mexicana MHOM/GT/2001/U1103	LmxM.01: 29,460 - 30,668 (-)	hypothetical protein, conserved	
LmxM.01.0130	LmxM.01.0130.1	L. mexicana MHOM/GT/2001/U1103	LmxM.01: 32,692 - 33,786 (-)	hypothetical protein, conserved	
LmxM.01.0140	LmxM.01.0140.1	L. mexicana MHOM/GT/2001/U1103	LmxM.01: 35,671 - 35,919 (-)	hypothetical protein	
LmxM.01.0150	LmxM.01.0150.1	L. mexicana MHOM/GT/2001/U1103	LmxM.01: 36,669 - 37,019 (-)	hypothetical protein, conserved	
LmxM.01.0160	LmxM.01.0160.1	L. mexicana MHOM/GT/2001/U1103	LmxM.01: 37,854 - 38,096 (-)	hypothetical protein, conserved	
LmxM.01.0170	LmxM.01.0170.1	L. mexicana MHOM/GT/2001/U1103	LmxM.01: 39,931 - 41,277 (-)	hypothetical protein	
LmxM.01.0180	LmxM.01.0180.1	L. mexicana MHOM/GT/2001/U1103	LmxM.01: 42,656 - 44,968 (-)	CLC-type chloride channel, putative	
LmxM.01.0190	LmxM.01.0190.1	L. mexicana MHOM/GT/2001/U1103	LmxM.01: 46,142 - 46,732 (-)	hypothetical protein, conserved	
LmxM.01.0200	LmxM.01.0200.1	L. mexicana MHOM/GT/2001/U1103	LmxM.01: 47,634 - 48,530 (-)	hypothetical protein, conserved	
LmxM.01.0210	LmxM.01.0210.1	L. mexicana MHOM/GT/2001/U1103	LmxM.01: 49,342 - 52,032 (-)	hypothetical protein, conserved	
LmxM.01.0220	LmxM.01.0220.1	L. mexicana MHOM/GT/2001/U1103	LmxM.01: 55,167 - 56,171 (-)	cyclophilin type peptidyl-prolyl cis-trans isomerase, putative	
LmxM.01.0230	LmxM.01.0230.1	L. mexicana MHOM/GT/2001/U1103	LmxM.01: 59,426 - 59,842 (-)	hypothetical protein, conserved	
LmxM.01.0240	LmxM.01.0240.1	L. mexicana MHOM/GT/2001/U1103	LmxM.01: 60,622 - 63,405 (-)	DNA excision/repair protein SNF2, putative	
LmxM.01.0250	LmxM.01.0250.1	L. mexicana MHOM/GT/2001/U1103	LmxM.01: 64,196 - 66,595 (-)	hypothetical protein, conserved	
LmxM.01.0260	LmxM.01.0260.1	L. mexicana MHOM/GT/2001/U1103	LmxM.01: 67,397 - 68,236 (-)	hypothetical protein, conserved	
LmxM.01.0270	LmxM.01.0270.1	L. mexicana MHOM/GT/2001/U1103	LmxM.01: 69,317 - 69,640 (-)	thioredoxin, putative	
LmxM.01.0280	LmxM.01.0280.1	L. mexicana MHOM/GT/2001/U1103	LmxM.01: 71,022 - 72,266 (-)	pseudouridylate synthase-like protein	
LmxM.01.0290	LmxM.01.0290.1	L. mexicana MHOM/GT/2001/U1103	LmxM.01: 73,478 - 73,996 (-)	hypothetical protein, conserved	
LmxM.01.0300	LmxM.01.0300.1	L. mexicana MHOM/GT/2001/U1103	LmxM.01: 74,920 - 75,099 (-)	hypothetical protein, conserved	
LmxM.01.0310	LmxM.01.0310.1	L. mexicana MHOM/GT/2001/U1103	LmxM.01: 75,666 - 76,829 (-)	acidocalcisomal exopolyphosphatase, putative	
LmxM.01.0315	LmxM.01.0315.1	L. mexicana MHOM/GT/2001/U1103	LmxM.01: 77,187 - 77,618 (-)	hypothetical protein, conserved	
LmxM.01.0320	LmxM.01.0320.1	L. mexicana MHOM/GT/2001/U1103	LmxM.01: 78,587 - 79,510 (+)	poly(A) export protein, putative	
LmxM.01.0330	LmxM.01.0330.1	L. mexicana MHOM/GT/2001/U1103	LmxM.01: 79,980 - 80,612 (+)	hypothetical protein, conserved	
